"District","State","YearCode","District.Code","State.Code","Amount.of.Hydrogencarbonate","district_year_id","SDP","Ginni.Index","sdp2","sdp3","MarginOfVictory","percentagePoverty","HDI","literacyRate"
"Alappuzha","Kerala",2014,554,32,63.7793103448276,"554_2014",382134,0.32,146026393956,55801650027982104,"1.9%","7.1",0.752,"94"
"Alappuzha","Kerala",2016,554,32,115.168965517241,"554_2016",443615,0.32,196794268225,87300889298633376,"1.9%","7.1",0.774,"94"
"Alappuzha","Kerala",2011,554,32,49.55,"554_2011",328021,0.32,107597776441,35294330225953260,"6.3%","7.1",0.721,"93.90%"
"Aligarh","Uttar Pradesh",2016,119,9,342.888888888889,"119_2016",888453,0.28,789348733209,701299250065735680,"26.9%","29.4",0.588,"67.7"
"Aligarh","Uttar Pradesh",2004,119,9,347.6,"119_2004",231029,0.28,53374398841,12331033989837390,"0.40%","40.9",0.489,"56.3"
"Aligarh","Uttar Pradesh",2000,119,9,410.166666666667,"119_2000",160015,0.28,25604800225,4097152108003375,"14.30%","31.2",0.456,"56.3"
"Aligarh","Uttar Pradesh",2018,119,9,286.212,"119_2018",949184,0.28,900950265856,855167577146261504,"26.9%","29.4",0.6,"67.7"
"Aligarh","Uttar Pradesh",2005,119,9,419.444444444444,"119_2005",244514,0.28,59787096196,14618782039268744,"0.40%","40.9",0.498,"56.3"
"Almora","Uttarakhand",2012,45,5,159,"45_2012",109528,0.27,11996382784,1313939813565952,"1.4%","11.3",0.633,"79.60%"
"Almora","Uttarakhand",2016,45,5,150.1,"45_2016",150303,0.27,22590991809,3395493841868127,"14.6%","11.3",0.676,"78.8"
"Almora","Uttarakhand",2009,45,5,76,"45_2009",43407,0.27,1884167649,81786065140143,"1.4%","18.0",0.636,"79.60%"
"Almora","Uttarakhand",2008,45,5,159,"45_2008",37064,0.27,1373740096,50916302918144,"2.00%","32.7",0.645,"71.6"
"Alwar","Rajasthan",2011,87,8,442.053333333333,"87_2011",395331,0.39,156286599561,61784937691049688,"20.5%","14.7",0.555,"67.10%"
"Alwar","Rajasthan",2012,87,8,494.740740740741,"87_2012",409802,0.39,167937679204,68821196813157608,"20.5%","14.7",0.563,"67.10%"
"Alwar","Rajasthan",2015,87,8,535.85,"87_2015",501922,0.39,251925694084,126447048226029440,"26.7%","14.7",0.606,"66.1"
"Alwar","Rajasthan",2009,87,8,342.032258064516,"87_2009",161159,0.39,25972223281,4185657531742679,"20.5%","24.8",0.533,"67.10%"
"Alwar","Rajasthan",2006,87,8,497.909090909091,"87_2006",134350,0.39,18049922500,2425007087875000,"1.50%","34.4",0.514,"60.1"
"Alwar","Rajasthan",2014,87,8,296.411764705882,"87_2014",465408,0.39,216604606464,100809516685197312,"26.7%","14.7",0.592,"66.1"
"Alwar","Rajasthan",2016,87,8,474.659090909091,"87_2016",529650,0.39,280529122500,148582249732124992,"26.7%","14.7",0.622,"66.1"
"Alwar","Rajasthan",2010,87,8,452.75,"87_2010",185366,0.39,34360553956,6369278444607896,"20.5%","24.8",0.542,"67.10%"
"Alwar","Rajasthan",2000,87,8,502.954545454545,"87_2000",71764,0.39,5150071696,369589745191744,"9.30%","15.3",0.463,"60.1"
"Alwar","Rajasthan",2005,87,8,486.647058823529,"87_2005",120202,0.39,14448520804,1736741097682408,"1.50%","34.4",0.505,"60.1"
"Alwar","Rajasthan",2018,87,8,304.333333333333,"87_2018",568102,0.39,322739882404,183349172673477216,"26.7%","14.7",0.643,"66.1"
"Alwar","Rajasthan",2004,87,8,498.885714285714,"87_2004",112636,0.39,12686868496,1428998119915456,"1.50%","34.4",0.496,"60.1"
"Alwar","Rajasthan",2002,87,8,414.032258064516,"87_2002",70333,0.39,4946730889,347918423616037,"9.30%","15.3",0.474,"60.1"
"Alwar","Rajasthan",2007,87,8,445.4,"87_2007",140471,0.39,19732101841,2771788077707111,"1.50%","34.4",0.522,"60.1"
"Alwar","Rajasthan",2017,87,8,462.833333333333,"87_2017",557618,0.39,310937833924,173384533077033024,"26.7%","14.7",0.634,"66.1"
"Alwar","Rajasthan",2001,87,8,324.242424242424,"87_2001",79936,0.39,6389764096,510772182777856,"9.30%","15.3",0.467,"60.1"
"Alwar","Rajasthan",2013,87,8,488.230769230769,"87_2013",434292,0.39,188609541264,81911614894625088,"20.5%","14.7",0.576,"67.10%"
"Alwar","Rajasthan",2008,87,8,389.916666666667,"87_2008",152284,0.39,23190416656,3531529410042304,"1.50%","34.4",0.529,"60.1"
"Ambala","Haryana",2001,58,6,296,"58_2001",55036,0.37,3028961296,166701913886656,"17.80%","8.7",0.548,"57.9"
"Ambala","Haryana",2016,58,6,316.444444444444,"58_2016",412055,0.37,169789323025,69962539499066376,"27.9%","11.2",0.701,"75.6"
"Ambala","Haryana",2005,58,6,421.916666666667,"58_2005",94011,0.37,8838068121,830875622123331,"27.70%","24.1",0.587,"57.9"
"Ambala","Haryana",2009,58,6,303.75,"58_2009",136780,0.37,18708768400,2558985341752000,"1.7%","20.1",0.618,"76.60%"
"Ambala","Haryana",2007,58,6,354.8,"58_2007",112896,0.37,12745506816,1438916737499136,"27.70%","24.1",0.606,"57.9"
"Ambala","Haryana",2017,58,6,392.8,"58_2017",434407,0.37,188709441649,81976702418417136,"27.9%","11.2",0.705,"75.6"
"Ambala","Haryana",2008,58,6,600.1,"58_2008",121588,0.37,14783641744,1797513432369472,"27.70%","24.1",0.613,"57.9"
"Ambala","Haryana",2012,58,6,378.428571428571,"58_2012",289756,0.37,83958539536,24327490581793216,"1.7%","11.2",0.653,"76.60%"
"Ambala","Haryana",2002,58,6,440.052631578947,"58_2002",58410,0.37,3411728100,199279038321000,"17.80%","8.7",0.555,"57.9"
"Ambala","Haryana",2014,58,6,307.384615384615,"58_2014",333359,0.37,111128222881,37045593251387280,"27.9%","11.2",0.677,"75.6"
"Ambala","Haryana",2013,58,6,272.142857142857,"58_2013",314931,0.37,99181534761,31235339923816492,"1.7%","11.2",0.663,"76.60%"
"Ambala","Haryana",2010,58,6,441.142857142857,"58_2010",146053,0.37,21331478809,3115526474490877,"1.7%","20.1",0.628,"76.60%"
"Ambala","Haryana",2015,58,6,752,"58_2015",372700,0.37,138905290000,5.1770001583e+16,"27.9%","11.2",0.689,"75.6"
"Ambala","Haryana",2018,58,6,252.736842105263,"58_2018",470328,0.37,221208427584,104040517328727552,"27.9%","11.2",0.705,"75.6"
"Ambala","Haryana",2004,58,6,451.866666666667,"58_2004",86222,0.37,7434233284,640994462213048,"27.70%","24.1",0.577,"57.9"
"Ambala","Haryana",2006,58,6,414.636363636364,"58_2006",104700,0.37,10962090000,1.147730823e+15,"27.70%","24.1",0.596,"57.9"
"Ambala","Haryana",2000,58,6,273.294117647059,"58_2000",51090,0.37,2610188100,133354510029000,"17.80%","8.7",0.543,"57.9"
"Ambedkar Nagar","Uttar Pradesh",2018,121,9,308.66,"121_2018",949184,0.22,900950265856,855167577146261504,"13.5%","29.4",0.6,"67.7"
"Ambedkar Nagar","Uttar Pradesh",2016,121,9,389.1,"121_2016",888453,0.22,789348733209,701299250065735680,"13.5%","29.4",0.588,"67.7"
"Amravati","Maharashtra",2008,468,27,475.390566037736,"468_2008",546533,0.29,298698320089,163248488973201440,"2.10%","38.1",0.624,"76.9"
"Amravati","Maharashtra",2002,468,27,336.90243902439,"468_2002",232994,0.29,54286204036,12648359823163784,"10.50%","25",0.565,"76.9"
"Amravati","Maharashtra",2017,468,27,445.792151515152,"468_2017",1661065,0.29,2759136934225,4583105791648449536,"13.7%","17.4",0.696,"82.3"
"Amravati","Maharashtra",2009,468,27,379.022727272727,"468_2009",599338,0.29,359206038244,215285828549082464,"8.4%","24.5",0.629,"82.90%"
"Amravati","Maharashtra",2018,468,27,481.75134375,"468_2018",1728578,0.29,2987981902084,5164959780340556800,"13.7%","17.4",0.699,"82.3"
"Amravati","Maharashtra",2004,468,27,322.425531914894,"468_2004",370023,0.29,136917020529,50662446687202168,"2.10%","38.1",0.589,"76.9"
"Amravati","Maharashtra",2013,468,27,277.428571428571,"468_2013",1267551,0.29,1606685537601,2036555859871685120,"8.4%","17.4",0.667,"82.90%"
"Amravati","Maharashtra",2015,468,27,319.92,"468_2015",1452513,0.29,2109794015169,3064503234355169792,"13.7%","17.4",0.683,"82.3"
"Amravati","Maharashtra",2007,468,27,383.254086956522,"468_2007",538081,0.29,289531162561,155791217481985440,"2.10%","38.1",0.617,"76.9"
"Amravati","Maharashtra",2012,468,27,195.304347826087,"468_2012",1189711,0.29,1415412263521,1683931539445832448,"8.4%","17.4",0.662,"82.90%"
"Amravati","Maharashtra",2005,468,27,413.448936170213,"468_2005",423632,0.29,179464071424,76026723505491968,"2.10%","38.1",0.598,"76.9"
"Amravati","Maharashtra",2014,468,27,287.185483870968,"468_2014",1345341,0.29,1809942406281,2434989726808486912,"13.7%","17.4",0.676,"82.3"
"Amravati","Maharashtra",2001,468,27,436.04347826087,"468_2001",217963,0.29,47507869369,10354957731275346,"10.50%","25",0.557,"76.9"
"Amravati","Maharashtra",2006,468,27,351.982361111111,"468_2006",481983,0.29,232307612289,111968319893889088,"2.10%","38.1",0.608,"76.9"
"Amravati","Maharashtra",2011,468,27,309.84,"468_2011",1126595,0.29,1269216294025,1429892730767094784,"8.4%","17.4",0.652,"82.90%"
"Amravati","Maharashtra",2016,468,27,369.253968253968,"468_2016",1596121,0.29,2547602246641,4066281445510879744,"13.7%","17.4",0.69,"82.3"
"Amravati","Maharashtra",2000,468,27,392.892857142857,"468_2000",210526,0.29,44321196676,9330764251411576,"10.50%","25",0.552,"76.9"
"Amreli","Gujarat",2002,439,24,380.272727272727,"439_2002",101603,0.19,10323169609,1048865001783227,"8.70%","14.1",0.534,"69.1"
"Amreli","Gujarat",2010,439,24,444.586206896552,"439_2010",315892,0.19,99787755664,31522153712212288,"7.1%","23.0",0.599,"79.30%"
"Amreli","Gujarat",2006,439,24,397.47619047619,"439_2006",213954,0.19,45776314116,9794025510374664,"0.40%","31.8",0.579,"69.1"
"Amreli","Gujarat",2000,439,24,434.521739130435,"439_2000",86431,0.19,7470317761,645667034400991,"8.70%","14.1",0.521,"69.1"
"Amreli","Gujarat",2009,439,24,409.333333333333,"439_2009",284732,0.19,81072311824,23083881490271168,"7.1%","23.0",0.592,"79.30%"
"Amreli","Gujarat",2014,439,24,514.028571428571,"439_2014",705629,0.19,497912285641,351341348204573184,"19.3%","16.6",0.642,"78"
"Amreli","Gujarat",2012,439,24,366.225806451613,"439_2012",596659,0.19,356001962281,212411774812619168,"7.1%","16.6",0.618,"79.30%"
"Amreli","Gujarat",2007,439,24,437.8,"439_2007",239253,0.19,57241998009,13695319749647278,"0.40%","31.8",0.585,"69.1"
"Amreli","Gujarat",2011,439,24,435.973684210526,"439_2011",532809,0.19,283885430481,151256712329151136,"7.1%","16.6",0.611,"79.30%"
"Amreli","Gujarat",2018,439,24,434.925,"439_2018",1034399,0.19,1069981291201,1106787577637023232,"19.3%","16.6",0.657,"78"
"Amreli","Gujarat",2013,439,24,400.692307692308,"439_2013",641489,0.19,411508137121,263977943373613184,"7.1%","16.6",0.628,"79.30%"
"Amreli","Gujarat",2016,439,24,472.789473684211,"439_2016",843930,0.19,712217844900,601062005846456960,"19.3%","16.6",0.666,"78"
"Amreli","Gujarat",2005,439,24,273.25,"439_2005",197270,0.19,38915452900,7676851393583000,"0.40%","31.8",0.569,"69.1"
"Amreli","Gujarat",2015,439,24,342.878048780488,"439_2015",774775,0.19,600276300625,465079070816734400,"19.3%","16.6",0.654,"78"
"Amreli","Gujarat",2008,439,24,384.972972972973,"439_2008",249480,0.19,62240270400,15527702659392000,"0.40%","31.8",0.589,"69.1"
"Amreli","Gujarat",2004,439,24,340.75,"439_2004",172265,0.19,29675230225,5112003534709625,"0.40%","31.8",0.558,"69.1"
"Amreli","Gujarat",2017,439,24,365.634146341463,"439_2017",946511,0.19,895883073121,847963183422830848,"19.3%","16.6",0.662,"78"
"Amritsar","Punjab",2018,27,3,339.333333333333,"27_2018",353942,0.3,125274939364,44340062588372888,"10.2%","8.3",0.712,"75.8"
"Amritsar","Punjab",2010,27,3,277.833333333333,"27_2010",129983,0.3,16895580289,2196138212705087,"0.8%","15.9",0.651,"76.70%"
"Amritsar","Punjab",2002,27,3,337.214285714286,"27_2002",65085,0.3,4236057225,275703784489125,"5.40%","6.2",0.582,"69.7"
"Amritsar","Punjab",2006,27,3,238.6,"27_2006",100072,0.3,10014405184,1002161555573248,"15.40%","20.9",0.619,"69.7"
"Amritsar","Punjab",2014,27,3,319.222222222222,"27_2014",278485,0.3,77553895225,21597596511734124,"10.2%","8.3",0.696,"75.8"
"Amritsar","Punjab",2000,27,3,392,"27_2000",63172,0.3,3990701584,252100600464448,"5.40%","6.2",0.573,"69.7"
"Amritsar","Punjab",2017,27,3,418.6,"27_2017",335057,0.3,112263193249,37614568740430192,"10.2%","8.3",0.716,"75.8"
"Amritsar","Punjab",2007,27,3,311.571428571429,"27_2007",108738,0.3,11823952644,1285712962603272,"15.40%","20.9",0.628,"69.7"
"Amritsar","Punjab",2004,27,3,275.1,"27_2004",86108,0.3,7414587664,638455314571712,"15.40%","20.9",0.603,"69.7"
"Amritsar","Punjab",2016,27,3,330.454545454545,"27_2016",315783,0.3,99718903089,31489534374153688,"10.2%","8.3",0.717,"75.8"
"Amritsar","Punjab",2013,27,3,248.444444444444,"27_2013",267515,0.3,71564275225,19144517086815876,"0.8%","8.3",0.684,"76.70%"
"Amritsar","Punjab",2008,27,3,465.75,"27_2008",114766,0.3,13171234756,1511609928007096,"15.40%","20.9",0.636,"69.7"
"Amritsar","Punjab",2012,27,3,329.333333333333,"27_2012",251813,0.3,63409786969,15967408686024796,"0.8%","8.3",0.675,"76.70%"
"Amritsar","Punjab",2001,27,3,489,"27_2001",63995,0.3,4095360025,262082564799875,"5.40%","6.2",0.577,"69.7"
"Amritsar","Punjab",2015,27,3,328.888888888889,"27_2015",294895,0.3,86963061025,25644971880967376,"10.2%","8.3",0.706,"75.8"
"Amritsar","Punjab",2005,27,3,279.8,"27_2005",90330,0.3,8159508900,737048438937000,"15.40%","20.9",0.611,"69.7"
"Amritsar","Punjab",2009,27,3,457,"27_2009",122097,0.3,14907677409,1820182688606673,"0.8%","15.9",0.641,"76.70%"
"Anand","Gujarat",2000,440,24,629,"440_2000",86431,0.21,7470317761,645667034400991,"0.70%","14.1",0.521,"69.1"
"Anand","Gujarat",2009,440,24,641.111111111111,"440_2009",284732,0.21,81072311824,23083881490271168,"10.0%","23.0",0.592,"79.30%"
"Anand","Gujarat",2006,440,24,484.4,"440_2006",213954,0.21,45776314116,9794025510374664,"10.30%","31.8",0.579,"69.1"
"Anand","Gujarat",2004,440,24,596.25,"440_2004",172265,0.21,29675230225,5112003534709625,"10.30%","31.8",0.558,"69.1"
"Anand","Gujarat",2010,440,24,736.625,"440_2010",315892,0.21,99787755664,31522153712212288,"10.0%","23.0",0.599,"79.30%"
"Anand","Gujarat",2011,440,24,608.25,"440_2011",532809,0.21,283885430481,151256712329151136,"10.0%","16.6",0.611,"79.30%"
"Anand","Gujarat",2007,440,24,247.571428571429,"440_2007",239253,0.21,57241998009,13695319749647278,"10.30%","31.8",0.585,"69.1"
"Anand","Gujarat",2012,440,24,675,"440_2012",596659,0.21,356001962281,212411774812619168,"10.0%","16.6",0.618,"79.30%"
"Anand","Gujarat",2008,440,24,568.875,"440_2008",249480,0.21,62240270400,15527702659392000,"10.30%","31.8",0.589,"69.1"
"Anand","Gujarat",2014,440,24,681.75,"440_2014",705629,0.21,497912285641,351341348204573184,"6.5%","16.6",0.642,"78"
"Anand","Gujarat",2018,440,24,447.5,"440_2018",1034399,0.21,1069981291201,1106787577637023232,"6.5%","16.6",0.657,"78"
"Anand","Gujarat",2017,440,24,613.076923076923,"440_2017",946511,0.21,895883073121,847963183422830848,"6.5%","16.6",0.662,"78"
"Anand","Gujarat",2002,440,24,447.333333333333,"440_2002",101603,0.21,10323169609,1048865001783227,"0.70%","14.1",0.534,"69.1"
"Anand","Gujarat",2005,440,24,420.333333333333,"440_2005",197270,0.21,38915452900,7676851393583000,"10.30%","31.8",0.569,"69.1"
"Anand","Gujarat",2013,440,24,703.4,"440_2013",641489,0.21,411508137121,263977943373613184,"10.0%","16.6",0.628,"79.30%"
"Anand","Gujarat",2015,440,24,604.333333333333,"440_2015",774775,0.21,600276300625,465079070816734400,"6.5%","16.6",0.654,"78"
"Anand","Gujarat",2016,440,24,608.8,"440_2016",843930,0.21,712217844900,601062005846456960,"6.5%","16.6",0.666,"78"
"Anantapur","Andhra Pradesh",2000,502,28,324.205882352941,"502_2000",126035,0.27,15884821225,2002043443092875,"2.70%","15.8",0.473,"60.5"
"Anantapur","Andhra Pradesh",2017,502,28,595.090909090909,"502_2017",526626,0.27,277334943876,146051792153642368,"5.1%","9.2",0.645,"67"
"Anantapur","Andhra Pradesh",2011,502,28,389.130434782609,"502_2011",339996,0.27,115597280016,39302612816319936,"7.8%","9.2",0.589,"67.70%"
"Anantapur","Andhra Pradesh",2008,502,28,518.28,"502_2008",163341,0.27,26680282281,4357983988060821,"8.40%","29.9",0.557,"60.5"
"Anantapur","Andhra Pradesh",2014,502,28,417.827586206897,"502_2014",397064,0.27,157659820096,62601038806598144,"5.1%","9.2",0.621,"67"
"Anantapur","Andhra Pradesh",2010,502,28,470,"502_2010",186041,0.27,34611253681,6439112246066921,"7.8%","21.1",0.574,"67.70%"
"Anantapur","Andhra Pradesh",2007,502,28,548.192307692308,"502_2007",159270,0.27,25366932900,4040191402983000,"8.40%","29.9",0.548,"60.5"
"Anantapur","Andhra Pradesh",2001,502,28,414.366666666667,"502_2001",131750,0.27,17358062500,2286924734375000,"2.70%","15.8",0.479,"60.5"
"Anantapur","Andhra Pradesh",2004,502,28,300.058823529412,"502_2004",121388,0.27,14735046544,1788657829883072,"8.40%","29.9",0.515,"60.5"
"Anantapur","Andhra Pradesh",2005,502,28,650.2,"502_2005",128150,0.27,16422422500,2104533443375000,"8.40%","29.9",0.526,"60.5"
"Anantapur","Andhra Pradesh",2016,502,28,555.333333333333,"502_2016",477566,0.27,228069284356,108918135852757488,"5.1%","9.2",0.643,"67"
"Anantapur","Andhra Pradesh",2006,502,28,326.1875,"502_2006",141610,0.27,20053392100,2839760855281000,"8.40%","29.9",0.538,"60.5"
