country,state,district,yearcode,dyid,road_sum
India,Bihar,Araria,2012,Araria2012,84.542
India,Bihar,Araria,2013,Araria2013,305.423
India,Bihar,Araria,2016,Araria2016,78.927
India,Bihar,Araria,2017,Araria2017,3.497
India,Bihar,Araria,2018,Araria2018,.
India,Bihar,Araria,2020,Araria2020,.
India,Tamil Nadu,Ariyalur,2012,Ariyalur2012,55.3
India,Tamil Nadu,Ariyalur,2014,Ariyalur2014,100.541
India,Tamil Nadu,Ariyalur,2018,Ariyalur2018,12.141
India,Gujarat,Arvalli,2011,Arvalli2011,4.54
India,Gujarat,Arvalli,2012,Arvalli2012,55.83
India,Gujarat,Arvalli,2013,Arvalli2013,196.28
India,Gujarat,Arvalli,2018,Arvalli2018,.
India,Bihar,Arwal,2011,Arwal2011,84.607
India,Bihar,Arwal,2012,Arwal2012,.
India,Bihar,Arwal,2013,Arwal2013,60.273
India,Bihar,Arwal,2016,Arwal2016,21.222
India,Bihar,Arwal,2017,Arwal2017,27.499
India,Madhya Pradesh,Ashoknagar,2011,Ashoknagar2011,45.525
India,Madhya Pradesh,Ashoknagar,2012,Ashoknagar2012,219.7
India,Madhya Pradesh,Ashoknagar,2013,Ashoknagar2013,71.6
India,Madhya Pradesh,Ashoknagar,2015,Ashoknagar2015,139.225
India,Madhya Pradesh,Ashoknagar,2016,Ashoknagar2016,79.425
India,Madhya Pradesh,Ashoknagar,2017,Ashoknagar2017,2.25
India,Madhya Pradesh,Ashoknagar,2018,Ashoknagar2018,.
India,Uttar Pradesh,Auraiya,2012,Auraiya2012,51.35
India,Bihar,Aurangabad,2011,Aurangabad2011,244.548
India,Maharashtra,Aurangabad,2012,Aurangabad2012,6
India,Bihar,Aurangabad,2013,Aurangabad2013,888.827
India,Bihar,Aurangabad,2016,Aurangabad2016,246.369
India,Bihar,Aurangabad,2017,Aurangabad2017,120.854
India,Bihar,Aurangabad,2018,Aurangabad2018,146.905
India,Bihar,Aurangabad,2020,Aurangabad2020,.
India,Uttar Pradesh,Ayodhya,2011,Ayodhya2011,20.67
India,Uttar Pradesh,Ayodhya,2012,Ayodhya2012,109.24
India,Uttar Pradesh,Ayodhya,2018,Ayodhya2018,18.95
India,Uttar Pradesh,Azamgarh,2011,Azamgarh2011,4.6
India,Uttar Pradesh,Azamgarh,2012,Azamgarh2012,177
India,Karnataka,Bagalkote,2013,Bagalkote2013,13.4
India,Uttarakhand,Bageshwar,2012,Bageshwar2012,54.1
India,Uttarakhand,Bageshwar,2013,Bageshwar2013,301.464
India,Uttarakhand,Bageshwar,2016,Bageshwar2016,72.485
India,Uttarakhand,Bageshwar,2017,Bageshwar2017,85.15
India,Uttarakhand,Bageshwar,2018,Bageshwar2018,570.208
India,Uttarakhand,Bageshwar,2021,Bageshwar2021,19.225
India,Uttar Pradesh,Baghpat,2012,Baghpat2012,43.435
India,Uttar Pradesh,Bahraich,2011,Bahraich2011,42.27
India,Uttar Pradesh,Bahraich,2012,Bahraich2012,154.3
India,Uttar Pradesh,Bahraich,2018,Bahraich2018,11.35
India,Assam,Baksa,2012,Baksa2012,13.15
India,Assam,Baksa,2013,Baksa2013,51.863
India,Assam,Baksa,2016,Baksa2016,6.197
India,Assam,Baksa,2017,Baksa2017,338.053
India,Assam,Baksa,2018,Baksa2018,3.854
India,Madhya Pradesh,Balaghat,2011,Balaghat2011,65.905
India,Madhya Pradesh,Balaghat,2015,Balaghat2015,65.475
India,Madhya Pradesh,Balaghat,2016,Balaghat2016,66.91
India,Madhya Pradesh,Balaghat,2017,Balaghat2017,56.815
India,Madhya Pradesh,Balaghat,2018,Balaghat2018,.
India,Odisha,Balangir,2011,Balangir2011,519.33
India,Odisha,Balangir,2012,Balangir2012,258.22
India,Odisha,Balangir,2013,Balangir2013,344.381
India,Odisha,Balangir,2016,Balangir2016,467.435
India,Odisha,Balangir,2017,Balangir2017,83.18
India,Odisha,Balangir,2018,Balangir2018,37.65
India,Odisha,Baleshwar,2011,Baleshwar2011,118.65
India,Odisha,Baleshwar,2012,Baleshwar2012,448.65
India,Odisha,Baleshwar,2013,Baleshwar2013,177.22
India,Odisha,Baleshwar,2016,Baleshwar2016,91.57
India,Odisha,Baleshwar,2017,Baleshwar2017,204.53
India,Odisha,Baleshwar,2018,Baleshwar2018,14.9
India,Karnataka,Ballari,2012,Ballari2012,11.93
India,Karnataka,Ballari,2013,Ballari2013,17.73
India,Uttar Pradesh,Ballia,2012,Ballia2012,127.005
India,Uttar Pradesh,Ballia,2018,Ballia2018,13.305
India,Chhattisgarh,Balod,2011,Balod2011,13.15
India,Chhattisgarh,Balod,2012,Balod2012,132.585
India,Chhattisgarh,Balod,2013,Balod2013,1.76
India,Chhattisgarh,Balod,2016,Balod2016,10.75
India,Chhattisgarh,Balod,2018,Balod2018,.
India,Chhattisgarh,Baloda Bazar,2011,Baloda Bazar2011,116.635
India,Chhattisgarh,Baloda Bazar,2013,Baloda Bazar2013,193.575
India,Chhattisgarh,Baloda Bazar,2016,Baloda Bazar2016,7.425
India,Uttar Pradesh,Balrampur,2011,Balrampur2011,11.15
India,Uttar Pradesh,Balrampur,2012,Balrampur2012,60.45
India,Chhattisgarh,Balrampur,2013,Balrampur2013,.
India,Chhattisgarh,Balrampur,2016,Balrampur2016,44.105
India,Uttar Pradesh,Balrampur,2018,Balrampur2018,12.35
India,Gujarat,Banas Kantha,2012,Banas Kantha2012,23.37
India,Gujarat,Banas Kantha,2013,Banas Kantha2013,132.025
India,Gujarat,Banas Kantha,2016,Banas Kantha2016,25.51
India,Gujarat,Banas Kantha,2017,Banas Kantha2017,14.39
India,Uttar Pradesh,Banda,2012,Banda2012,68.75
India,Uttar Pradesh,Banda,2018,Banda2018,17
India,Jammu And Kashmir,Bandipora,2011,Bandipora2011,60.3
India,Jammu And Kashmir,Bandipora,2016,Bandipora2016,60.14
India,Jammu And Kashmir,Bandipora,2018,Bandipora2018,96.615
India,Bihar,Banka,2012,Banka2012,101.246
India,Bihar,Banka,2013,Banka2013,322.429
India,Bihar,Banka,2016,Banka2016,158.445
India,Bihar,Banka,2017,Banka2017,24.83
India,Bihar,Banka,2018,Banka2018,.
India,Bihar,Banka,2020,Banka2020,.
India,West Bengal,Bankura,2011,Bankura2011,34.97
India,West Bengal,Bankura,2012,Bankura2012,583.617
India,West Bengal,Bankura,2013,Bankura2013,569.473
India,West Bengal,Bankura,2016,Bankura2016,469.916
India,West Bengal,Bankura,2017,Bankura2017,496.599
India,Rajasthan,Banswara,2011,Banswara2011,370.76
India,Rajasthan,Banswara,2012,Banswara2012,178.79
India,Rajasthan,Banswara,2013,Banswara2013,239.675
India,Rajasthan,Banswara,2016,Banswara2016,123.435
India,Uttar Pradesh,Barabanki,2012,Barabanki2012,147.465
India,Uttar Pradesh,Barabanki,2018,Barabanki2018,14.4
India,Jammu And Kashmir,Baramulla,2011,Baramulla2011,112.15
India,Jammu And Kashmir,Baramulla,2012,Baramulla2012,32.4
India,Jammu And Kashmir,Baramulla,2016,Baramulla2016,153.745
India,Jammu And Kashmir,Baramulla,2017,Baramulla2017,2.2
India,Jammu And Kashmir,Baramulla,2018,Baramulla2018,180.14
India,Rajasthan,Baran,2012,Baran2012,34.13
India,Rajasthan,Baran,2017,Baran2017,.
India,Uttar Pradesh,Bareilly,2012,Bareilly2012,106.5
India,Uttar Pradesh,Bareilly,2018,Bareilly2018,12
India,Odisha,Bargarh,2011,Bargarh2011,102.955
India,Odisha,Bargarh,2012,Bargarh2012,312.06
India,Odisha,Bargarh,2013,Bargarh2013,98.602
India,Odisha,Bargarh,2016,Bargarh2016,120.19
India,Odisha,Bargarh,2017,Bargarh2017,114.466
India,Odisha,Bargarh,2018,Bargarh2018,9.62
India,Rajasthan,Barmer,2011,Barmer2011,163.655
India,Rajasthan,Barmer,2012,Barmer2012,139.1
India,Rajasthan,Barmer,2013,Barmer2013,412.22
India,Rajasthan,Barmer,2016,Barmer2016,550.635
India,Punjab,Barnala,2012,Barnala2012,70.83
India,Punjab,Barnala,2013,Barnala2013,9.61
India,Assam,Barpeta,2012,Barpeta2012,25.55
India,Assam,Barpeta,2013,Barpeta2013,18.8
India,Assam,Barpeta,2017,Barpeta2017,294.411
India,Assam,Barpeta,2018,Barpeta2018,151.248
India,Madhya Pradesh,Barwani,2012,Barwani2012,78.36
India,Madhya Pradesh,Barwani,2013,Barwani2013,4.45
India,Madhya Pradesh,Barwani,2016,Barwani2016,32.825
India,Madhya Pradesh,Barwani,2017,Barwani2017,56.61
India,Madhya Pradesh,Barwani,2018,Barwani2018,.
India,Chhattisgarh,Bastar,2013,Bastar2013,38.7
India,Chhattisgarh,Bastar,2016,Bastar2016,170.6
India,Chhattisgarh,Bastar,2018,Bastar2018,193.87
India,Uttar Pradesh,Basti,2012,Basti2012,117.125
India,Uttar Pradesh,Basti,2018,Basti2018,14.635
India,Punjab,Bathinda,2012,Bathinda2012,17.52
India,Maharashtra,Beed,2012,Beed2012,19.31
India,Bihar,Begusarai,2012,Begusarai2012,159.128
India,Bihar,Begusarai,2013,Begusarai2013,94.76
India,Bihar,Begusarai,2016,Begusarai2016,13.867
India,Bihar,Begusarai,2017,Begusarai2017,1.23
India,Bihar,Begusarai,2018,Begusarai2018,.
India,Karnataka,Belagavi,2012,Belagavi2012,13.65
India,Karnataka,Belagavi,2013,Belagavi2013,15.25
India,Chhattisgarh,Bemetara,2011,Bemetara2011,105.62
India,Chhattisgarh,Bemetara,2013,Bemetara2013,40.84
India,Madhya Pradesh,Betul,2012,Betul2012,506.2
India,Madhya Pradesh,Betul,2013,Betul2013,50.1
India,Madhya Pradesh,Betul,2015,Betul2015,83.28
India,Madhya Pradesh,Betul,2016,Betul2016,136.005
India,Madhya Pradesh,Betul,2017,Betul2017,5.37
India,Madhya Pradesh,Betul,2018,Betul2018,.
India,Uttar Pradesh,Bhadohi,2012,Bhadohi2012,41.25
India,Uttar Pradesh,Bhadohi,2018,Bhadohi2018,5.25
India,Telangana,Bhadradri Kothagudem,2016,Bhadradri Kothagudem2016,.
India,Telangana,Bhadradri Kothagudem,2017,Bhadradri Kothagudem2017,113.066
India,Odisha,Bhadrak,2011,Bhadrak2011,52.5
India,Odisha,Bhadrak,2012,Bhadrak2012,174.1
India,Odisha,Bhadrak,2013,Bhadrak2013,144.2
India,Odisha,Bhadrak,2016,Bhadrak2016,146.55
India,Odisha,Bhadrak,2017,Bhadrak2017,49.86
India,Bihar,Bhagalpur,2012,Bhagalpur2012,100.511
India,Bihar,Bhagalpur,2013,Bhagalpur2013,284.802
India,Bihar,Bhagalpur,2016,Bhagalpur2016,39.109
India,Bihar,Bhagalpur,2017,Bhagalpur2017,.
India,Bihar,Bhagalpur,2020,Bhagalpur2020,.
India,Maharashtra,Bhandara,2013,Bhandara2013,.
India,Rajasthan,Bharatpur,2011,Bharatpur2011,1.7
India,Rajasthan,Bharatpur,2012,Bharatpur2012,70.14
India,Gujarat,Bharuch,2012,Bharuch2012,14.81
India,Gujarat,Bharuch,2013,Bharuch2013,8.440001
India,Gujarat,Bhavnagar,2012,Bhavnagar2012,0.9
India,Gujarat,Bhavnagar,2013,Bhavnagar2013,30.435
India,Rajasthan,Bhilwara,2011,Bhilwara2011,27.93
India,Rajasthan,Bhilwara,2012,Bhilwara2012,331.62
India,Madhya Pradesh,Bhind,2011,Bhind2011,55.74
India,Madhya Pradesh,Bhind,2012,Bhind2012,198.425
India,Madhya Pradesh,Bhind,2013,Bhind2013,47.325
India,Madhya Pradesh,Bhind,2015,Bhind2015,119.288
India,Madhya Pradesh,Bhind,2016,Bhind2016,14.625
India,Madhya Pradesh,Bhind,2017,Bhind2017,10.575
India,Bihar,Bhojpur,2012,Bhojpur2012,222.768
India,Bihar,Bhojpur,2013,Bhojpur2013,256.411
India,Bihar,Bhojpur,2016,Bhojpur2016,32
India,Bihar,Bhojpur,2017,Bhojpur2017,16.385
India,Bihar,Bhojpur,2020,Bhojpur2020,.
India,Madhya Pradesh,Bhopal,2011,Bhopal2011,52.975
India,Madhya Pradesh,Bhopal,2012,Bhopal2012,49.28
India,Madhya Pradesh,Bhopal,2013,Bhopal2013,3.5
India,Madhya Pradesh,Bhopal,2015,Bhopal2015,2.9
India,Madhya Pradesh,Bhopal,2016,Bhopal2016,1.625
India,Madhya Pradesh,Bhopal,2018,Bhopal2018,.
India,Karnataka,Bidar,2012,Bidar2012,11.58
India,Chhattisgarh,Bijapur,2016,Bijapur2016,873.27
India,Chhattisgarh,Bijapur,2018,Bijapur2018,616.415
India,Uttar Pradesh,Bijnor,2012,Bijnor2012,121.975
India,Uttar Pradesh,Bijnor,2018,Bijnor2018,8.8
India,Rajasthan,Bikaner,2011,Bikaner2011,177.75
India,Rajasthan,Bikaner,2012,Bikaner2012,154.25
India,Rajasthan,Bikaner,2013,Bikaner2013,329.5
India,Rajasthan,Bikaner,2016,Bikaner2016,247.3
India,Chhattisgarh,Bilaspur,2011,Bilaspur2011,120.185
India,Chhattisgarh,Bilaspur,2013,Bilaspur2013,131.65
India,Himachal Pradesh,Bilaspur,2014,Bilaspur2014,0.75
India,Himachal Pradesh,Bilaspur,2016,Bilaspur2016,54.83
India,Himachal Pradesh,Bilaspur,2017,Bilaspur2017,3.5
India,Chhattisgarh,Bilaspur,2018,Bilaspur2018,88.765
India,West Bengal,Birbhum,2011,Birbhum2011,58.86
India,West Bengal,Birbhum,2012,Birbhum2012,556.726
India,West Bengal,Birbhum,2014,Birbhum2014,50.545
India,West Bengal,Birbhum,2016,Birbhum2016,613.92
India,West Bengal,Birbhum,2017,Birbhum2017,148.5
India,West Bengal,Birbhum,2018,Birbhum2018,.
India,Manipur,Bishnupur,2012,Bishnupur2012,.
India,Manipur,Bishnupur,2013,Bishnupur2013,52.772
India,Manipur,Bishnupur,2014,Bishnupur2014,76.347
India,Manipur,Bishnupur,2017,Bishnupur2017,39.48
India,Manipur,Bishnupur,2018,Bishnupur2018,.
India,Assam,Biswanath,2012,Biswanath2012,.
India,Assam,Biswanath,2013,Biswanath2013,6
India,Assam,Biswanath,2017,Biswanath2017,50.75
India,Assam,Biswanath,2018,Biswanath2018,10.41
India,Jharkhand,Bokaro,2011,Bokaro2011,50.05
India,Jharkhand,Bokaro,2012,Bokaro2012,.
India,Jharkhand,Bokaro,2013,Bokaro2013,65.225
India,Jharkhand,Bokaro,2016,Bokaro2016,229.291
India,Jharkhand,Bokaro,2017,Bokaro2017,115.323
India,Assam,Bongaigaon,2012,Bongaigaon2012,16.51
India,Assam,Bongaigaon,2013,Bongaigaon2013,49.402
India,Assam,Bongaigaon,2016,Bongaigaon2016,2.33
India,Assam,Bongaigaon,2017,Bongaigaon2017,98.385
India,Assam,Bongaigaon,2018,Bongaigaon2018,5.67
India,Gujarat,Botad,2013,Botad2013,6.225
India,Odisha,Boudh,2011,Boudh2011,24.64
India,Odisha,Boudh,2013,Boudh2013,67.96
India,Odisha,Boudh,2016,Boudh2016,31.39
India,Odisha,Boudh,2017,Boudh2017,60.705
India,Odisha,Boudh,2018,Boudh2018,4.84
India,Uttar Pradesh,Budaun,2012,Budaun2012,90.8
India,Uttar Pradesh,Budaun,2018,Budaun2018,10.18
India,Jammu And Kashmir,Budgam,2011,Budgam2011,84.04
India,Jammu And Kashmir,Budgam,2012,Budgam2012,.
India,Jammu And Kashmir,Budgam,2016,Budgam2016,61.48
India,Jammu And Kashmir,Budgam,2017,Budgam2017,37.38
India,Jammu And Kashmir,Budgam,2018,Budgam2018,179.39
India,Uttar Pradesh,Bulandshahr,2012,Bulandshahr2012,106.035
India,Uttar Pradesh,Bulandshahr,2018,Bulandshahr2018,7.645
India,Maharashtra,Buldhana,2012,Buldhana2012,.
India,Maharashtra,Buldhana,2017,Buldhana2017,6.7
India,Rajasthan,Bundi,2011,Bundi2011,1.1
India,Rajasthan,Bundi,2012,Bundi2012,43.83
India,Rajasthan,Bundi,2017,Bundi2017,.
India,Madhya Pradesh,Burhanpur,2012,Burhanpur2012,16.55
India,Madhya Pradesh,Burhanpur,2013,Burhanpur2013,4.3
India,Madhya Pradesh,Burhanpur,2016,Burhanpur2016,22.45
India,Madhya Pradesh,Burhanpur,2018,Burhanpur2018,.
India,Bihar,Buxar,2012,Buxar2012,91.302
India,Bihar,Buxar,2013,Buxar2013,120.268
India,Bihar,Buxar,2016,Buxar2016,9.99
India,Bihar,Buxar,2017,Buxar2017,49.744
India,Bihar,Buxar,2018,Buxar2018,.
India,Assam,Cachar,2012,Cachar2012,9.86
India,Assam,Cachar,2013,Cachar2013,19.098
India,Assam,Cachar,2016,Cachar2016,58.545
India,Assam,Cachar,2017,Cachar2017,23.798
India,Assam,Cachar,2018,Cachar2018,46.623
India,Himachal Pradesh,Chamba,2011,Chamba2011,273.67
India,Himachal Pradesh,Chamba,2013,Chamba2013,42.6
India,Himachal Pradesh,Chamba,2014,Chamba2014,13.58
India,Himachal Pradesh,Chamba,2016,Chamba2016,216.435
India,Himachal Pradesh,Chamba,2017,Chamba2017,200.055
India,Himachal Pradesh,Chamba,2018,Chamba2018,496.225
India,Uttarakhand,Chamoli,2011,Chamoli2011,3
India,Uttarakhand,Chamoli,2012,Chamoli2012,173.66
India,Uttarakhand,Chamoli,2013,Chamoli2013,321.015
India,Uttarakhand,Chamoli,2016,Chamoli2016,156.613
India,Uttarakhand,Chamoli,2017,Chamoli2017,189.87
India,Uttarakhand,Chamoli,2018,Chamoli2018,776.788
India,Uttarakhand,Chamoli,2021,Chamoli2021,171.974
India,Uttarakhand,Champawat,2011,Champawat2011,.
India,Uttarakhand,Champawat,2012,Champawat2012,87.26
India,Uttarakhand,Champawat,2013,Champawat2013,44.38
India,Uttarakhand,Champawat,2016,Champawat2016,95.425
India,Uttarakhand,Champawat,2017,Champawat2017,186.025
India,Uttarakhand,Champawat,2018,Champawat2018,302.55
India,Uttarakhand,Champawat,2021,Champawat2021,142.75
India,Mizoram,Champhai,2016,Champhai2016,51.915
India,Mizoram,Champhai,2017,Champhai2017,15.14
India,Mizoram,Champhai,2018,Champhai2018,6
India,Uttar Pradesh,Chandauli,2012,Chandauli2012,153.445
India,Uttar Pradesh,Chandauli,2018,Chandauli2018,18.5
India,Manipur,Chandel,2012,Chandel2012,.
India,Manipur,Chandel,2013,Chandel2013,9.5
India,Manipur,Chandel,2014,Chandel2014,15
India,Manipur,Chandel,2017,Chandel2017,62.7
India,Manipur,Chandel,2018,Chandel2018,46.5
India,Manipur,Chandel,2020,Chandel2020,.
India,Maharashtra,Chandrapur,2012,Chandrapur2012,15.4
India,Maharashtra,Chandrapur,2013,Chandrapur2013,82.42
India,Arunachal Pradesh,Changlang,2012,Changlang2012,85.714
India,Arunachal Pradesh,Changlang,2013,Changlang2013,14.192
India,Arunachal Pradesh,Changlang,2014,Changlang2014,3.72
India,Arunachal Pradesh,Changlang,2016,Changlang2016,34.44
India,Arunachal Pradesh,Changlang,2018,Changlang2018,142.35
India,Assam,Charaideo,2012,Charaideo2012,21.335
India,Assam,Charaideo,2013,Charaideo2013,15.019
India,Assam,Charaideo,2016,Charaideo2016,15.39
India,Assam,Charaideo,2017,Charaideo2017,186.639
India,Assam,Charaideo,2018,Charaideo2018,6.37
India,Jharkhand,Chatra,2011,Chatra2011,43.22
India,Jharkhand,Chatra,2012,Chatra2012,7.25
India,Jharkhand,Chatra,2013,Chatra2013,294.005
India,Jharkhand,Chatra,2016,Chatra2016,105.92
India,Jharkhand,Chatra,2017,Chatra2017,372.55
India,Jharkhand,Chatra,2018,Chatra2018,38.41
India,Tamil Nadu,Chengalpattu,2012,Chengalpattu2012,46.308
India,Tamil Nadu,Chengalpattu,2014,Chengalpattu2014,145.146
India,Tamil Nadu,Chengalpattu,2016,Chengalpattu2016,4.7
India,Tamil Nadu,Chengalpattu,2018,Chengalpattu2018,28.831
India,Madhya Pradesh,Chhatarpur,2011,Chhatarpur2011,53.23
India,Madhya Pradesh,Chhatarpur,2012,Chhatarpur2012,259.495
India,Madhya Pradesh,Chhatarpur,2013,Chhatarpur2013,42.49
India,Madhya Pradesh,Chhatarpur,2015,Chhatarpur2015,212.36
India,Madhya Pradesh,Chhatarpur,2016,Chhatarpur2016,68.85
India,Madhya Pradesh,Chhatarpur,2017,Chhatarpur2017,10.3
India,Madhya Pradesh,Chhindwara,2011,Chhindwara2011,111.245
India,Madhya Pradesh,Chhindwara,2012,Chhindwara2012,666.975
India,Madhya Pradesh,Chhindwara,2013,Chhindwara2013,67.775
India,Madhya Pradesh,Chhindwara,2015,Chhindwara2015,172.131
India,Madhya Pradesh,Chhindwara,2016,Chhindwara2016,235.649
India,Madhya Pradesh,Chhindwara,2017,Chhindwara2017,30.025
India,Madhya Pradesh,Chhindwara,2018,Chhindwara2018,.
India,Gujarat,Chhotaudepur,2011,Chhotaudepur2011,7.62
India,Gujarat,Chhotaudepur,2012,Chhotaudepur2012,14.95
India,Gujarat,Chhotaudepur,2013,Chhotaudepur2013,30.305
India,Karnataka,Chikkaballapura,2012,Chikkaballapura2012,7.64
India,Karnataka,Chikkamagaluru,2013,Chikkamagaluru2013,.
India,Assam,Chirang,2012,Chirang2012,20.8
India,Assam,Chirang,2013,Chirang2013,25.75
India,Assam,Chirang,2017,Chirang2017,98.105
India,Assam,Chirang,2018,Chirang2018,27.44
India,Karnataka,Chitradurga,2013,Chitradurga2013,.
India,Uttar Pradesh,Chitrakoot,2012,Chitrakoot2012,67.35
India,Andhra Pradesh,Chittoor,2017,Chittoor2017,.
India,Rajasthan,Chittorgarh,2012,Chittorgarh2012,106.44
India,Manipur,Churachandpur,2012,Churachandpur2012,28.72
India,Manipur,Churachandpur,2013,Churachandpur2013,70.51
India,Manipur,Churachandpur,2014,Churachandpur2014,.
